Media Category,Measure,Sum,Count,Average
Lean Left,flesch_kincaid_grade_global,7668.5,728,10.533653846153847
Lean Left,gunning_fog_global,8831.93,728,12.131771978021979
Scientific,flesch_kincaid_grade_global,1502.6999999999998,134,11.21417910447761
Scientific,gunning_fog_global,1696.47,134,12.660223880597016
Lean Right,flesch_kincaid_grade_global,2893.6000000000004,272,10.63823529411765
Lean Right,gunning_fog_global,3344.75,272,12.296875
Left,flesch_kincaid_grade_global,629.3,62,10.149999999999999
Left,gunning_fog_global,723.7099999999999,62,11.67274193548387
Right,flesch_kincaid_grade_global,2015.4,189,10.663492063492065
Right,gunning_fog_global,2327.4,189,12.314285714285715
Center,flesch_kincaid_grade_global,7335.700000000001,648,11.320524691358026
Center,gunning_fog_global,8454.630000000001,648,13.04726851851852
